Reference, Value, Footprint, Datasheet
C2,0.1 µF,Capacitors_SMD:C_1206_HandSoldering,
R1,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
U9,TL431,Housings_TO-92:TO-92_Inline_Narrow_Oval,
R4,18k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
U1,AD8629,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U8,MCP3422,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U6,MAX5217,Housings_SSOP:TSSOP-8_3x3mm_Pitch0.65mm,
R6,4k7,Resistors_SMD:R_1206_HandSoldering,
R7,4k7,Resistors_SMD:R_1206_HandSoldering,
R10,100k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
U3,AD8629,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
C7,0.1 µF,Capacitors_SMD:C_1206_HandSoldering,
R9,27,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R11,1k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R12,1k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R13,1k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R14,200k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R16,100k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R17,100k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
U2,AD8629,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
C9,0.1 µF,Capacitors_SMD:C_1206_HandSoldering,
R21,100R 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R22,1k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R23,10k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R24,100k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R5,2k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R15,200k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8,100k,Resistors_SMD:R_1206_HandSoldering,
P2,CELL_CONN,Pin_Headers:Pin_Header_Straight_1x03,
C6,0.1 µF,Capacitors_SMD:C_1206_HandSoldering,
D2,CELL ON LED,LEDs:LED-3MM,
R2,10k,Potentiometers:Potentiometer_Bourns_3296Y_3-8Zoll_Angular_ScrewUp,
D1,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
D4,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
D5,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
D6,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
D7,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
C8,10 µF,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
C1,10 µF,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,
P1,USB_B,Connect:USB_B,
C3,0.1 µF,Capacitors_SMD:C_1206_HandSoldering,
C4,0.1 µF,Capacitors_SMD:C_1206_HandSoldering,
D3,MODE LED,my_footprints:DUO-LED-3mm,
R18,1k,Resistors_SMD:R_1206_HandSoldering,
R19,1k,Resistors_SMD:R_1206_HandSoldering,
R20,1k,Resistors_SMD:R_1206_HandSoldering,
K2,HE721C0510,my_footprints:RELAY-HE700,
K3,9007-05-00,my_footprints:RELAY-9007,
K4,9007-05-00,my_footprints:RELAY-9007,
K5,9007-05-00,my_footprints:RELAY-9007,
K6,9007-05-00,my_footprints:RELAY-9007,
K1,9007-05-00,my_footprints:RELAY-9007,
R3,10k 0.1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C5,0.1 µF,Capacitors_SMD:C_1206_HandSoldering,
U7,PIC16F1459,Housings_SOIC:SOIC-20_7.5x12.8mm_Pitch1.27mm,
P3,ICSP_CONN,Pin_Headers:Pin_Header_Straight_1x06,
